key,instantiation-moment,title,message,email-address,link,author
notice-00,2022/07/24 00:00,betis campeon,mensaje de prueba,ggrguille@acme.com,http://www.ejemplo.com,guillermo
notice-01,2022/07/29 10:00,betis campeon,mensaje de prueba,pepi@acme.com,http://www.ejemplo.com,pepi
notice-02,2022/07/28 20:00,betis campeon,mensaje de prueba,pablo@acme.com,http://www.ejemplo.com,pablo
notice-03,2022/03/24 11:00,betis campeon,mensaje de prueba,luis@acme.com,http://www.ejemplo.com,luis
notice-04,1928/07/24 00:00,betis campeon,mensaje de prueba,jaime@acme.com,http://www.ejemplo.com,jaime
notice-05,2012/07/24 00:00,betis campeon,mensaje de prueba,kiko@acme.com,http://www.ejemplo.com,kiko
notice-06,2000/07/24 00:00,betis campeon,mensaje de prueba,webo@acme.com,http://www.ejemplo.com,webo
notice-07,2022/06/24 00:00,betis campeon,mensaje de prueba,lucas@acme.com,http://www.ejemplo.com,lucas
notice-08,2002/06/08 00:00,betis campeon,mensaje de cashhhhhhhh,antonio@acme.com,http://www.ejemplo.com,antonio
notice-09,2022/07/24 00:00,betis campeon,mensaje de prueba,ramon@acme.com,http://www.ejemplo.com,ramon
notice-10,1999/07/24 00:00,gana el betis,mensaje de prueba,rafael@acme.com,http://www.ejemplo.com,rafael
notice-11,2022/12/24 00:00,gana el betis,mensaje de prueba,fernanda@acme.com,http://www.ejemplo.com,fernanda
notice-12,2022/10/11 00:00,gana el betis,mensaje de prueba,paca@acme.com,http://www.ejemplo.com,paca
notice-13,2015/05/16 00:00,gana el betis,mensaje de prueba,javi@acme.com,http://www.ejemplo.com,javi
notice-14,2022/07/22 00:00,gana el betis,mensaje de pruebaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,amador@acme.com,http://www.ejemplo.com,amador
notice-15,2021/01/24 00:00,gana el betis,mensaje del estado español,coke@acme.com,http://www.ejemplo.com,coke
notice-16,2012/07/10 00:00,gana el betis,mensaje de prueba,luisma@acme.com,http://www.ejemplo.com,luisma
notice-17,2023/07/06 00:00,gana el betis,mensaje de prueba,enrique@acme.com,http://www.ejemplo.com,enrique
notice-18,2010/07/24 00:00,gana el betis,mensaje de prueba,sebastian@acme.com,http://www.ejemplo.com,sebastian
